Questions,Acceptance Rate,Difficulty
1760. Minimum Limit of Balls in a Bag,60.5%,Medium
1761. Minimum Degree of a Connected Trio in a Graph,41.5%,Hard
1762. Buildings With an Ocean View,79.0%,Medium
1763. Longest Nice Substring,61.3%,Easy
1764. Form Array by Concatenating Subarrays of Another Array,53.0%,Medium
1765. Map of Highest Peak,60.5%,Medium
1766. Tree of Coprimes,39.6%,Hard
1767. Find the Subtasks That Did Not Execute,80.9%,Hard
1768. Merge Strings Alternately,82.7%,Easy
1769. Minimum Number of Operations to Move All Balls to Each Box,85.3%,Medium
1770. Maximum Score from Performing Multiplication Operations,37.7%,Hard
1771. Maximize Palindrome Length From Subsequences,35.1%,Hard
1772. Sort Features by Popularity,64.8%,Medium
1773. Count Items Matching a Rule,84.4%,Easy
1774. Closest Dessert Cost,47.2%,Medium
1775. Equal Sum Arrays With Minimum Number of Operations,53.1%,Medium
1776. Car Fleet II,53.5%,Hard
1777. Product's Price for Each Store,83.1%,Easy
1778. Shortest Path in a Hidden Grid,39.1%,Medium
1779. Find Nearest Point That Has the Same X or Y Coordinate,67.4%,Easy
1780. Check if Number is a Sum of Powers of Three,66.1%,Medium
1781. Sum of Beauty of All Substrings,61.4%,Medium
1782. Count Pairs Of Nodes,38.4%,Hard
1783. Grand Slam Titles,86.3%,Medium
1784. Check if Binary String Has at Most One Segment of Ones,39.8%,Easy
1785. Minimum Elements to Add to Form a Given Sum,42.6%,Medium
1786. Number of Restricted Paths From First to Last Node,39.2%,Medium
1787. Make the XOR of All Segments Equal to Zero,39.4%,Hard
1788. Maximize the Beauty of the Garden,66.7%,Hard
1789. Primary Department for Each Employee,76.8%,Easy
1790. Check if One String Swap Can Make Strings Equal,45.2%,Easy
1791. Find Center of Star Graph,83.5%,Easy
1792. Maximum Average Pass Ratio,52.5%,Medium
1793. Maximum Score of a Good Subarray,53.6%,Hard
1794. Count Pairs of Equal Substrings With Minimum Difference,65.4%,Medium
1795. Rearrange Products Table,86.2%,Easy
1796. Second Largest Digit in a String,49.5%,Easy
1797. Design Authentication Manager,57.1%,Medium
1798. Maximum Number of Consecutive Values You Can Make,56.2%,Medium
1799. Maximize Score After N Operations,58.7%,Hard
1800. Maximum Ascending Subarray Sum,63.0%,Easy
1801. Number of Orders in the Backlog,48.6%,Medium
1802. Maximum Value at a Given Index in a Bounded Array,32.5%,Medium
1803. Count Pairs With XOR in a Range,46.7%,Hard
1804. Implement Trie II (Prefix Tree),59.7%,Medium
1805. Number of Different Integers in a String,36.7%,Easy
1806. Minimum Number of Operations to Reinitialize a Permutation,72.1%,Medium
1807. Evaluate the Bracket Pairs of a String,66.6%,Medium
1808. Maximize Number of Nice Divisors,31.9%,Hard
1809. Ad-Free Sessions,58.7%,Easy
1810. Minimum Path Cost in a Hidden Grid,54.5%,Medium
1811. Find Interview Candidates,62.9%,Medium
1812. Determine Color of a Chessboard Square,77.7%,Easy
1813. Sentence Similarity III,33.1%,Medium
1814. Count Nice Pairs in an Array,42.0%,Medium
1815. Maximum Number of Groups Getting Fresh Donuts,40.2%,Hard
1816. Truncate Sentence,83.2%,Easy
1817. Finding the Users Active Minutes,80.3%,Medium
1818. Minimum Absolute Sum Difference,30.6%,Medium
1819. Number of Different Subsequences GCDs,39.1%,Hard
1820. Maximum Number of Accepted Invitations,49.4%,Medium
1821. Find Customers With Positive Revenue this Year,89.0%,Easy
1822. Sign of the Product of an Array,65.9%,Easy
1823. Find the Winner of the Circular Game,77.9%,Medium
1824. Minimum Sideway Jumps,49.5%,Medium
1825. Finding MK Average,35.8%,Hard
1826. Faulty Sensor,49.8%,Easy
1827. Minimum Operations to Make the Array Increasing,78.3%,Easy
1828. Queries on Number of Points Inside a Circle,86.2%,Medium
1829. Maximum XOR for Each Query,76.7%,Medium
1830. Minimum Number of Operations to Make String Sorted,48.8%,Hard
1831. Maximum Transaction Each Day,82.6%,Medium
1832. Check if the Sentence Is Pangram,83.3%,Easy
1833. Maximum Ice Cream Bars,73.9%,Medium
1834. Single-Threaded CPU,45.7%,Medium
1835. Find XOR Sum of All Pairs Bitwise AND,60.6%,Hard
1836. Remove Duplicates From an Unsorted Linked List,70.5%,Medium
1837. Sum of Digits in Base K,76.9%,Easy
1838. Frequency of the Most Frequent Element,39.6%,Medium
1839. Longest Substring Of All Vowels in Order,48.7%,Medium
1840. Maximum Building Height,35.6%,Hard
1841. League Statistics,54.5%,Medium
1842. Next Palindrome Using Same Digits,53.1%,Hard
1843. Suspicious Bank Accounts,46.3%,Medium
1844. Replace All Digits with Characters,80.1%,Easy
1845. Seat Reservation Manager,65.9%,Medium
1846. Maximum Element After Decreasing and Rearranging,58.9%,Medium
1847. Closest Room,35.8%,Hard
1848. Minimum Distance to the Target Element,57.2%,Easy
1849. Splitting a String Into Descending Consecutive Values,33.4%,Medium
1850. Minimum Adjacent Swaps to Reach the Kth Smallest Number,71.4%,Medium
1851. Minimum Interval to Include Each Query,48.3%,Hard
1852. Distinct Numbers in Each Subarray,71.2%,Medium
1853. Convert Date Format,86.5%,Easy
1854. Maximum Population Year,60.0%,Easy
1855. Maximum Distance Between a Pair of Values,53.4%,Medium
1856. Maximum Subarray Min-Product,37.9%,Medium
1857. Largest Color Value in a Directed Graph,52.1%,Hard
1858. Longest Word With All Prefixes,67.5%,Medium
1859. Sorting the Sentence,83.8%,Easy
1860. Incremental Memory Leak,71.7%,Medium
1861. Rotating the Box,65.4%,Medium
1862. Sum of Floored Pairs,28.2%,Hard
1863. Sum of All Subset XOR Totals,80.3%,Easy
1864. Minimum Number of Swaps to Make the Binary String Alternating,42.8%,Medium
1865. Finding Pairs With a Certain Sum,50.4%,Medium
1866. Number of Ways to Rearrange Sticks With K Sticks Visible,55.8%,Hard
1867. Orders With Maximum Quantity Above Average,72.8%,Medium
1868. Product of Two Run-Length Encoded Arrays,57.7%,Medium
1869. Longer Contiguous Segments of Ones than Zeros,60.3%,Easy
1870. Minimum Speed to Arrive on Time,38.8%,Medium
1871. Jump Game VII,24.9%,Medium
1872. Stone Game VIII,52.6%,Hard
1873. Calculate Special Bonus,58.8%,Easy
1874. Minimize Product Sum of Two Arrays,90.0%,Medium
1875. Group Employees of the Same Salary,71.9%,Medium
1876. Substrings of Size Three with Distinct Characters,71.4%,Easy
1877. Minimize Maximum Pair Sum in Array,79.9%,Medium
1878. Get Biggest Three Rhombus Sums in a Grid,47.0%,Medium
1879. Minimum XOR Sum of Two Arrays,45.6%,Hard
1880. Check if Word Equals Summation of Two Words,73.9%,Easy
1881. Maximum Value after Insertion,37.2%,Medium
1882. Process Tasks Using Servers,39.6%,Medium
1883. Minimum Skips to Arrive at Meeting On Time,38.0%,Hard
1884. Egg Drop With 2 Eggs and N Floors,70.9%,Medium
1885. Count Pairs in Two Arrays,59.2%,Medium
1886. Determine Whether Matrix Can Be Obtained By Rotation,56.0%,Easy
1887. Reduction Operations to Make the Array Elements Equal,62.4%,Medium
1888. Minimum Number of Flips to Make the Binary String Alternating,38.9%,Medium
1889. Minimum Space Wasted From Packaging,31.3%,Hard
1890. The Latest Login in 2020,78.2%,Easy
1891. Cutting Ribbons,48.4%,Medium
1892. Page Recommendations II,43.1%,Hard
1893. Check if All the Integers in a Range Are Covered,50.2%,Easy
1894. Find the Student that Will Replace the Chalk,44.7%,Medium
1895. Largest Magic Square,51.7%,Medium
1896. Minimum Cost to Change the Final Value of Expression,54.1%,Hard
1897. Redistribute Characters to Make All Strings Equal,59.3%,Easy
1898. Maximum Number of Removable Characters,41.3%,Medium
1899. Merge Triplets to Form Target Triplet,64.8%,Medium
1900. The Earliest and Latest Rounds Where Players Compete,50.4%,Hard
1901. Find a Peak Element II,52.0%,Medium
1902. Depth of BST Given Insertion Order,44.3%,Medium
1903. Largest Odd Number in String,56.5%,Easy
1904. The Number of Full Rounds You Have Played,44.6%,Medium
1905. Count Sub Islands,67.8%,Medium
1906. Minimum Absolute Difference Queries,43.9%,Medium
1907. Count Salary Categories,61.8%,Medium
1908. Game of Nim,64.5%,Medium
1909. Remove One Element to Make the Array Strictly Increasing,26.2%,Easy
1910. Remove All Occurrences of a Substring,74.8%,Medium
1911. Maximum Alternating Subsequence Sum,59.3%,Medium
1912. Design Movie Rental System,39.2%,Hard
1913. Maximum Product Difference Between Two Pairs,81.1%,Easy
1914. Cyclically Rotating a Grid,48.5%,Medium
1915. Number of Wonderful Substrings,45.6%,Medium
1916. Count Ways to Build Rooms in an Ant Colony,49.2%,Hard
1917. Leetcodify Friends Recommendations,27.9%,Hard
1918. Kth Smallest Subarray Sum,52.5%,Medium
1919. Leetcodify Similar Friends,42.0%,Hard
1920. Build Array from Permutation,89.9%,Easy
1921. Eliminate Maximum Number of Monsters,37.4%,Medium
1922. Count Good Numbers,40.5%,Medium
1923. Longest Common Subpath,27.7%,Hard
1924. Erect the Fence II,52.8%,Hard
1925. Count Square Sum Triples,67.7%,Easy
1926. Nearest Exit from Entrance in Maze,48.9%,Medium
1927. Sum Game,46.6%,Medium
1928. Minimum Cost to Reach Destination in Time,37.8%,Hard
1929. Concatenation of Array,89.9%,Easy
1930. Unique Length-3 Palindromic Subsequences,52.4%,Medium
1931. Painting a Grid With Three Different Colors,57.2%,Hard
1932. Merge BSTs to Create Single BST,35.6%,Hard
1933. Check if String Is Decomposable Into Value-Equal Substrings,50.4%,Easy
1934. Confirmation Rate,66.6%,Medium
1935. Maximum Number of Words You Can Type,71.7%,Easy
1936. Add Minimum Number of Rungs,42.9%,Medium
1937. Maximum Number of Points with Cost,36.0%,Medium
1938. Maximum Genetic Difference Query,39.8%,Hard
1939. Users That Actively Request Confirmation Messages,58.3%,Easy
1940. Longest Common Subsequence Between Sorted Arrays,78.8%,Medium
1941. Check if All Characters Have Equal Number of Occurrences,76.7%,Easy
1942. The Number of the Smallest Unoccupied Chair,40.9%,Medium
1943. Describe the Painting,48.2%,Medium
1944. Number of Visible People in a Queue,68.7%,Hard
1945. Sum of Digits of String After Convert,61.7%,Easy
1946. Largest Number After Mutating Substring,34.9%,Medium
1947. Maximum Compatibility Score Sum,61.3%,Medium
1948. Delete Duplicate Folders in System,56.3%,Hard
1949. Strong Friendship,55.6%,Medium
1950. Maximum of Minimum Values in All Subarrays,49.7%,Medium
1951. All the Pairs With the Maximum Number of Common Followers,69.9%,Medium
1952. Three Divisors,58.5%,Easy
1953. Maximum Number of Weeks for Which You Can Work,39.5%,Medium
1954. Minimum Garden Perimeter to Collect Enough Apples,53.4%,Medium
1955. Count Number of Special Subsequences,51.1%,Hard
1956. Minimum Time For K Virus Variants to Spread,48.2%,Hard
1957. Delete Characters to Make Fancy String,56.9%,Easy
1958. Check if Move is Legal,45.6%,Medium
1959. Minimum Total Space Wasted With K Resizing Operations,42.3%,Medium
1960. Maximum Product of the Length of Two Palindromic Substrings,29.8%,Hard
1961. Check If String Is a Prefix of Array,53.2%,Easy
1962. Remove Stones to Minimize the Total,60.4%,Medium
1963. Minimum Number of Swaps to Make the String Balanced,69.3%,Medium
1964. Find the Longest Valid Obstacle Course at Each Position,64.1%,Hard
1965. Employees With Missing Information,73.8%,Easy
1966. Binary Searchable Numbers in an Unsorted Array,65.1%,Medium
1967. Number of Strings That Appear as Substrings in Word,79.9%,Easy
1968. Array With Elements Not Equal to Average of Neighbors,49.2%,Medium
1969. Minimum Non-Zero Product of the Array Elements,34.5%,Medium
1970. Last Day Where You Can Still Cross,49.6%,Hard
1971. Find if Path Exists in Graph,51.9%,Easy
1972. First and Last Call On the Same Day,51.5%,Hard
1973. Count Nodes Equal to Sum of Descendants,75.1%,Medium
1974. Minimum Time to Type Word Using Special Typewriter,72.8%,Easy
1975. Maximum Matrix Sum,48.6%,Medium
1976. Number of Ways to Arrive at Destination,30.5%,Medium
1977. Number of Ways to Separate Numbers,20.4%,Hard
1978. Employees Whose Manager Left the Company,48.1%,Easy
1979. Find Greatest Common Divisor of Array,77.0%,Easy
1980. Find Unique Binary String,65.4%,Medium
1981. Minimize the Difference Between Target and Chosen Elements,32.4%,Medium
1982. Find Array Given Subset Sums,48.0%,Hard
1983. Widest Pair of Indices With Equal Range Sum,54.1%,Medium
1984. Minimum Difference Between Highest and Lowest of K Scores,54.6%,Easy
1985. Find the Kth Largest Integer in the Array,44.5%,Medium
1986. Minimum Number of Work Sessions to Finish the Tasks,32.8%,Medium
1987. Number of Unique Good Subsequences,52.0%,Hard
1988. Find Cutoff Score for Each School,68.1%,Medium
1989. Maximum Number of People That Can Be Caught in Tag,52.1%,Medium
1990. Count the Number of Experiments,50.0%,Medium
1991. Find the Middle Index in Array,67.2%,Easy
1992. Find All Groups of Farmland,68.3%,Medium
1993. Operations on Tree,44.2%,Medium
1994. The Number of Good Subsets,35.0%,Hard
1995. Count Special Quadruplets,59.9%,Easy
1996. The Number of Weak Characters in the Game,43.9%,Medium
1997. First Day Where You Have Been in All the Rooms,36.6%,Medium
1998. GCD Sort of an Array,45.3%,Hard
1999. Smallest Greater Multiple Made of Two Digits,49.6%,Medium
2000. Reverse Prefix of Word,79.0%,Easy
2001. Number of Pairs of Interchangeable Rectangles,46.5%,Medium
2002. Maximum Product of the Length of Two Palindromic Subsequences,54.8%,Medium
2003. Smallest Missing Genetic Value in Each Subtree,44.8%,Hard
2004. The Number of Seniors and Juniors to Join the Company,40.5%,Hard
2005. Subtree Removal Game with Fibonacci Tree,62.2%,Hard
2006. Count Number of Pairs With Absolute Difference K,82.7%,Easy
2007. Find Original Array From Doubled Array,40.6%,Medium
2008. Maximum Earnings From Taxi,43.5%,Medium
2009. Minimum Number of Operations to Make Array Continuous,45.4%,Hard
2010. The Number of Seniors and Juniors to Join the Company II,60.4%,Hard
2011. Final Value of Variable After Performing Operations,88.6%,Easy
2012. Sum of Beauty in the Array,47.1%,Medium
2013. Detect Squares,50.3%,Medium
2014. Longest Subsequence Repeated k Times,55.5%,Hard
2015. Average Height of Buildings in Each Segment,58.8%,Medium
2016. Maximum Difference Between Increasing Elements,54.4%,Easy
2017. Grid Game,43.9%,Medium
2018. Check if Word Can Be Placed In Crossword,49.2%,Medium
2019. The Score of Students Solving Math Expression,33.0%,Hard
2020. Number of Accounts That Did Not Stream,72.5%,Medium
2021. Brightest Position on Street,62.2%,Medium
2022. Convert 1D Array Into 2D Array,59.3%,Easy
2023. Number of Pairs of Strings With Concatenation Equal to Target,73.6%,Medium
2024. Maximize the Confusion of an Exam,60.6%,Medium
2025. Maximum Number of Ways to Partition an Array,32.8%,Hard
2026. Low-Quality Problems,84.7%,Easy
2027. Minimum Moves to Convert String,54.0%,Easy
2028. Find Missing Observations,44.9%,Medium
2029. Stone Game IX,26.7%,Medium
2030. Smallest K-Length Subsequence With Occurrences of a Letter,38.5%,Hard
2031. Count Subarrays With More Ones Than Zeros,51.8%,Medium
2032. Two Out of Three,73.7%,Easy
2033. Minimum Operations to Make a Uni-Value Grid,52.3%,Medium
2034. Stock Price Fluctuation,48.8%,Medium
2035. Partition Array Into Two Arrays to Minimize Sum Difference,18.9%,Hard
2036. Maximum Alternating Subarray Sum,40.9%,Medium
2037. Minimum Number of Moves to Seat Everyone,81.8%,Easy
2038. Remove Colored Pieces if Both Neighbors are the Same Color,58.0%,Medium
2039. The Time When the Network Becomes Idle,50.9%,Medium
2040. Kth Smallest Product of Two Sorted Arrays,28.7%,Hard
2041. Accepted Candidates From the Interviews,79.0%,Medium
2042. Check if Numbers Are Ascending in a Sentence,67.4%,Easy
2043. Simple Bank System,65.3%,Medium
2044. Count Number of Maximum Bitwise-OR Subsets,75.7%,Medium
2045. Second Minimum Time to Reach Destination,39.3%,Hard
2046. Sort Linked List Already Sorted Using Absolute Values,68.5%,Medium
2047. Number of Valid Words in a Sentence,29.0%,Easy
2048. Next Greater Numerically Balanced Number,47.0%,Medium
2049. Count Nodes With the Highest Score,47.6%,Medium
2050. Parallel Courses III,59.2%,Hard
2051. The Category of Each Member in the Store,71.1%,Medium
2052. Minimum Cost to Separate Sentence Into Rows,50.4%,Medium
2053. Kth Distinct String in an Array,72.1%,Easy
2054. Two Best Non-Overlapping Events,45.3%,Medium
2055. Plates Between Candles,44.6%,Medium
2056. Number of Valid Move Combinations On Chessboard,54.7%,Hard
2057. Smallest Index With Equal Value,71.7%,Easy
2058. Find the Minimum and Maximum Number of Nodes Between Critical Points,57.0%,Medium
2059. Minimum Operations to Convert Number,47.8%,Medium
2060. Check if an Original String Exists Given Two Encoded Strings,40.3%,Hard
2061. Number of Spaces Cleaning Robot Cleaned,54.6%,Medium
2062. Count Vowel Substrings of a String,66.1%,Easy
2063. Vowels of All Substrings,54.6%,Medium
2064. Minimized Maximum of Products Distributed to Any Store,50.6%,Medium
2065. Maximum Path Quality of a Graph,56.9%,Hard
2066. Account Balance,83.9%,Medium
2067. Number of Equal Count Substrings,48.4%,Medium
2068. Check Whether Two Strings are Almost Equivalent,63.8%,Easy
2069. Walking Robot Simulation II,23.6%,Medium
2070. Most Beautiful Item for Each Query,49.4%,Medium
2071. Maximum Number of Tasks You Can Assign,33.6%,Hard
2072. The Winner University,72.3%,Easy
2073. Time Needed to Buy Tickets,62.4%,Easy
2074. Reverse Nodes in Even Length Groups,54.1%,Medium
2075. Decode the Slanted Ciphertext,50.0%,Medium
2076. Process Restricted Friend Requests,53.3%,Hard
2077. Paths in Maze That Lead to Same Room,55.3%,Medium
2078. Two Furthest Houses With Different Colors,66.8%,Easy
2079. Watering Plants,79.8%,Medium
2080. Range Frequency Queries,38.7%,Medium
2081. Sum of k-Mirror Numbers,41.9%,Hard
2082. The Number of Rich Customers,79.8%,Easy
2083. Substrings That Begin and End With the Same Letter,68.0%,Medium
2084. Drop Type 1 Orders for Customers With Type 0 Orders,88.0%,Medium
2085. Count Common Words With One Occurrence,70.0%,Easy
2086. Minimum Number of Food Buckets to Feed the Hamsters,44.9%,Medium
2087. Minimum Cost Homecoming of a Robot in a Grid,50.8%,Medium
2088. Count Fertile Pyramids in a Land,63.0%,Hard
2089. Find Target Indices After Sorting Array,76.0%,Easy
2090. K Radius Subarray Averages,42.8%,Medium
2091. Removing Minimum and Maximum From Array,55.4%,Medium
2092. Find All People With Secret,34.2%,Hard
2093. Minimum Cost to Reach City With Discounts,56.1%,Medium
2094. Finding 3-Digit Even Numbers,57.9%,Easy
2095. Delete the Middle Node of a Linked List,59.2%,Medium
2096. Step-By-Step Directions From a Binary Tree Node to Another,48.5%,Medium
2097. Valid Arrangement of Pairs,41.0%,Hard
2098. Subsequence of Size K With the Largest Even Sum,38.3%,Medium
2099. Find Subsequence of Length K With the Largest Sum,42.8%,Easy
2100. Find Good Days to Rob the Bank,49.1%,Medium
2101. Detonate the Maximum Bombs,42.2%,Medium
2102. Sequentially Ordinal Rank Tracker,65.6%,Hard
2103. Rings and Rods,81.1%,Easy
2104. Sum of Subarray Ranges,60.4%,Medium
2105. Watering Plants II,49.0%,Medium
2106. Maximum Fruits Harvested After at Most K Steps,35.1%,Hard
2107. Number of Unique Flavors After Sharing K Candies,55.9%,Medium
2108. Find First Palindromic String in the Array,78.6%,Easy
2109. Adding Spaces to a String,56.6%,Medium
2110. Number of Smooth Descent Periods of a Stock,58.0%,Medium
2111. Minimum Operations to Make the Array K-Increasing,37.7%,Hard
2112. The Airport With the Most Traffic,70.2%,Medium
2113. Elements in Array After Removing and Replacing Elements,73.3%,Medium
2114. Maximum Number of Words Found in Sentences,86.9%,Easy
2115. Find All Possible Recipes from Given Supplies,48.6%,Medium
2116. Check if a Parentheses String Can Be Valid,31.0%,Medium
2117. Abbreviating the Product of a Range,26.8%,Hard
2118. Build the Equation,57.0%,Hard
2119. A Number After a Double Reversal,77.3%,Easy
2120. Execution of All Suffix Instructions Staying in a Grid,82.8%,Medium
2121. Intervals Between Identical Elements,43.6%,Medium
2122. Recover the Original Array,38.3%,Hard
2123. Minimum Operations to Remove Adjacent Ones in Matrix,41.2%,Hard
2124. Check if All A's Appears Before All B's,71.2%,Easy
2125. Number of Laser Beams in a Bank,81.8%,Medium
2126. Destroying Asteroids,50.1%,Medium
2127. Maximum Employees to Be Invited to a Meeting,34.9%,Hard
2128. Remove All Ones With Row and Column Flips,76.3%,Medium
2129. Capitalize the Title,62.3%,Easy
2130. Maximum Twin Sum of a Linked List,82.7%,Medium
2131. Longest Palindrome by Concatenating Two Letter Words,48.3%,Medium
2132. Stamping the Grid,31.6%,Hard
2133. Check if Every Row and Column Contains All Numbers,51.8%,Easy
2134. Minimum Swaps to Group All 1's Together II,51.2%,Medium
2135. Count Words Obtained After Adding a Letter,42.7%,Medium
2136. Earliest Possible Day of Full Bloom,72.9%,Hard
2137. Pour Water Between Buckets to Make Water Levels Equal,66.9%,Medium
2138. Divide a String Into Groups of Size k,65.5%,Easy
2139. Minimum Moves to Reach Target Score,49.0%,Medium
2140. Solving Questions With Brainpower,55.6%,Medium
2141. Maximum Running Time of N Computers,39.1%,Hard
2142. The Number of Passengers in Each Bus I,49.3%,Medium
2143. Choose Numbers From Two Arrays in Range,52.5%,Hard
2144. Minimum Cost of Buying Candies With Discount,60.8%,Easy
2145. Count the Hidden Sequences,37.0%,Medium
2146. K Highest Ranked Items Within a Price Range,41.6%,Medium
2147. Number of Ways to Divide a Long Corridor,39.5%,Hard
2148. Count Elements With Strictly Smaller and Greater Elements,59.6%,Easy
2149. Rearrange Array Elements by Sign,81.2%,Medium
2150. Find All Lonely Numbers in the Array,60.4%,Medium
2151. Maximum Good People Based on Statements,49.2%,Hard
2152. Minimum Number of Lines to Cover Points,47.3%,Medium
2153. The Number of Passengers in Each Bus II,44.8%,Hard
2154. Keep Multiplying Found Values by Two,72.2%,Easy
2155. All Divisions With the Highest Score of a Binary Array,63.6%,Medium
2156. Find Substring With Given Hash Value,22.4%,Hard
2157. Groups of Strings,25.5%,Hard
2158. Amount of New Area Painted Each Day,54.6%,Hard
2159. Order Two Columns Independently,59.8%,Medium
2160. Minimum Sum of Four Digit Number After Splitting Digits,86.5%,Easy
2161. Partition Array According to Given Pivot,84.8%,Medium
2162. Minimum Cost to Set Cooking Time,40.1%,Medium
2163. Minimum Difference in Sums After Removal of Elements,47.5%,Hard
2164. Sort Even and Odd Indices Independently,64.4%,Easy
2165. Smallest Value of the Rearranged Number,51.4%,Medium
2166. Design Bitset,31.7%,Medium
2167. Minimum Time to Remove All Cars Containing Illegal Goods,40.8%,Hard
2168. Unique Substrings With Equal Digit Frequency,59.8%,Medium
2169. Count Operations to Obtain Zero,74.9%,Easy
2170. Minimum Operations to Make the Array Alternating,33.1%,Medium
2171. Removing Minimum Number of Magic Beans,42.1%,Medium
2172. Maximum AND Sum of Array,48.4%,Hard
2173. Longest Winning Streak,54.4%,Hard
2174. Remove All Ones With Row and Column Flips II,68.4%,Medium
2175. The Change in Global Rankings,63.2%,Medium
2176. Count Equal and Divisible Pairs in an Array,79.5%,Easy
2177. Find Three Consecutive Integers That Sum to a Given Number,63.9%,Medium
2178. Maximum Split of Positive Even Integers,59.5%,Medium
2179. Count Good Triplets in an Array,38.6%,Hard
2180. Count Integers With Even Digit Sum,65.6%,Easy
2181. Merge Nodes in Between Zeros,86.1%,Medium
2182. Construct String With Repeat Limit,52.4%,Medium
2183. Count Array Pairs Divisible by K,28.3%,Hard
2184. Number of Ways to Build Sturdy Brick Wall,50.2%,Medium
2185. Counting Words With a Given Prefix,77.2%,Easy
2186. Minimum Number of Steps to Make Two Strings Anagram II,71.9%,Medium
2187. Minimum Time to Complete Trips,39.2%,Medium
2188. Minimum Time to Finish the Race,41.7%,Hard
2189. Number of Ways to Build House of Cards,63.2%,Medium
2190. Most Frequent Number Following Key In an Array,59.5%,Easy
2191. Sort the Jumbled Numbers,45.7%,Medium
2192. All Ancestors of a Node in a Directed Acyclic Graph,50.7%,Medium
2193. Minimum Number of Moves to Make Palindrome,51.2%,Hard
2194. Cells in a Range on an Excel Sheet,84.3%,Easy
2195. Append K Integers With Minimal Sum,25.0%,Medium
2196. Create Binary Tree From Descriptions,72.3%,Medium
2197. Replace Non-Coprime Numbers in Array,38.6%,Hard
2198. Number of Single Divisor Triplets,56.1%,Medium
2199. Finding the Topic of Each Post,50.0%,Hard
2200. Find All K-Distant Indices in an Array,64.9%,Easy
2201. Count Artifacts That Can Be Extracted,55.5%,Medium
2202. Maximize the Topmost Element After K Moves,22.8%,Medium
2203. Minimum Weighted Subgraph With the Required Paths,36.1%,Hard
2204. Distance to a Cycle in Undirected Graph,70.1%,Hard
2205. The Number of Users That Are Eligible for Discount,50.1%,Easy
2206. Divide Array Into Equal Pairs,73.5%,Easy
2207. Maximize Number of Subsequences in a String,33.5%,Medium
2208. Minimum Operations to Halve Array Sum,45.6%,Medium
2209. Minimum White Tiles After Covering With Carpets,34.4%,Hard
2210. Count Hills and Valleys in an Array,58.5%,Easy
2211. Count Collisions on a Road,42.4%,Medium
2212. Maximum Points in an Archery Competition,49.5%,Medium
2213. Longest Substring of One Repeating Character,31.5%,Hard
2214. Minimum Health to Beat Game,57.9%,Medium
2215. Find the Difference of Two Arrays,78.1%,Easy
2216. Minimum Deletions to Make Array Beautiful,46.9%,Medium
2217. Find Palindrome With Fixed Length,33.8%,Medium
2218. Maximum Value of K Coins From Piles,61.6%,Hard
2219. Maximum Sum Score of Array,61.2%,Medium
2220. Minimum Bit Flips to Convert Number,81.5%,Easy
2221. Find Triangular Sum of an Array,78.3%,Medium
2222. Number of Ways to Select Buildings,51.0%,Medium
2223. Sum of Scores of Built Strings,37.1%,Hard
2224. Minimum Number of Operations to Convert Time,64.8%,Easy
2225. Find Players With Zero or One Losses,72.3%,Medium
2226. Maximum Candies Allocated to K Children,36.8%,Medium
2227. Encrypt and Decrypt Strings,39.3%,Hard
2228. Users With Two Purchases Within Seven Days,43.5%,Medium
2229. Check if an Array Is Consecutive,61.2%,Easy
2230. The Users That Are Eligible for Discount,49.4%,Easy
2231. Largest Number After Digit Swaps by Parity,60.7%,Easy
2232. Minimize Result by Adding Parentheses to Expression,65.6%,Medium
2233. Maximum Product After K Increments,41.0%,Medium
2234. Maximum Total Beauty of the Gardens,28.5%,Hard
2235. Add Two Integers,88.2%,Easy
2236. Root Equals Sum of Children,83.8%,Easy
2237. Count Positions on Street With Required Brightness,63.8%,Medium
2238. Number of Times a Driver Was a Passenger,71.5%,Medium
2239. Find Closest Number to Zero,45.1%,Easy
2240. Number of Ways to Buy Pens and Pencils,56.8%,Medium
2241. Design an ATM Machine,38.9%,Medium
2242. Maximum Score of a Node Sequence,37.8%,Hard
2243. Calculate Digit Sum of a String,66.2%,Easy
2244. Minimum Rounds to Complete All Tasks,62.9%,Medium
2245. Maximum Trailing Zeros in a Cornered Path,35.2%,Medium
2246. Longest Path With Different Adjacent Characters,55.5%,Hard
2247. Maximum Cost of Trip With K Highways,50.6%,Hard
2248. Intersection of Multiple Arrays,68.4%,Easy
2249. Count Lattice Points Inside a Circle,50.6%,Medium
2250. Count Number of Rectangles Containing Each Point,34.1%,Medium
2251. Number of Flowers in Full Bloom,51.1%,Hard
2252. Dynamic Pivoting of a Table,56.6%,Hard
2253. Dynamic Unpivoting of a Table,65.7%,Hard
2254. Design Video Sharing Platform,64.5%,Hard
2255. Count Prefixes of a Given String,72.5%,Easy
2256. Minimum Average Difference,43.0%,Medium
2257. Count Unguarded Cells in the Grid,52.0%,Medium
2258. Escape the Spreading Fire,34.9%,Hard
2259. Remove Digit From Number to Maximize Result,45.8%,Easy
2260. Minimum Consecutive Cards to Pick Up,51.0%,Medium
2261. K Divisible Elements Subarrays,48.3%,Medium
2262. Total Appeal of A String,56.2%,Hard
2263. Make Array Non-decreasing or Non-increasing,65.6%,Hard
2264. Largest 3-Same-Digit Number in String,59.5%,Easy
2265. Count Nodes Equal to Average of Subtree,85.1%,Medium
2266. Count Number of Texts,46.9%,Medium
