Questions,Acceptance Rate,Difficulty,Links
2308. Arrange Table by Gender,70.30%,Medium,https://leetcode.com/problems/arrange-table-by-gender/
2309. Greatest English Letter in Upper and Lower Case,68.80%,Easy,https://leetcode.com/problems/greatest-english-letter-in-upper-and-lower-case/
2310. Sum of Numbers With Units Digit K,25.80%,Medium,https://leetcode.com/problems/sum-of-numbers-with-units-digit-k/
2311. Longest Binary Subsequence Less Than or Equal to K,37.00%,Medium,https://leetcode.com/problems/longest-binary-subsequence-less-than-or-equal-to-k/
2312. Selling Pieces of Wood,48.90%,Hard,https://leetcode.com/problems/selling-pieces-of-wood/
2313. Minimum Flips in Binary Tree to Get Result,61.80%,Hard,https://leetcode.com/problems/minimum-flips-in-binary-tree-to-get-result/
2314. The First Day of the Maximum Recorded Degree in Each City,72.50%,Medium,https://leetcode.com/problems/the-first-day-of-the-maximum-recorded-degree-in-each-city/
2315. Count Asterisks,81.90%,Easy,https://leetcode.com/problems/count-asterisks/
2316. Count Unreachable Pairs of Nodes in an Undirected Graph,50.60%,Medium,https://leetcode.com/problems/count-unreachable-pairs-of-nodes-in-an-undirected-graph/
2317. Maximum XOR After Operations,79.20%,Medium,https://leetcode.com/problems/maximum-xor-after-operations/
2318. Number of Distinct Roll Sequences,56.20%,Hard,https://leetcode.com/problems/number-of-distinct-roll-sequences/
2319. Check if Matrix Is X-Matrix,66.30%,Easy,https://leetcode.com/problems/check-if-matrix-is-x-matrix/
2320. Count Number of Ways to Place Houses,40.70%,Medium,https://leetcode.com/problems/count-number-of-ways-to-place-houses/
2321. Maximum Score Of Spliced Array,55.90%,Hard,https://leetcode.com/problems/maximum-score-of-spliced-array/
2322. Minimum Score After Removals on a Tree,50.70%,Hard,https://leetcode.com/problems/minimum-score-after-removals-on-a-tree/
2323. Find Minimum Time to Finish All Jobs II,74.20%,Medium,https://leetcode.com/problems/find-minimum-time-to-finish-all-jobs-ii/
2324. Product Sales Analysis IV,75.70%,Medium,https://leetcode.com/problems/product-sales-analysis-iv/
2325. Decode the Message,84.10%,Easy,https://leetcode.com/problems/decode-the-message/
2326. Spiral Matrix IV,75.00%,Medium,https://leetcode.com/problems/spiral-matrix-iv/
2327. Number of People Aware of a Secret,45.00%,Medium,https://leetcode.com/problems/number-of-people-aware-of-a-secret/
2328. Number of Increasing Paths in a Grid,47.80%,Hard,https://leetcode.com/problems/number-of-increasing-paths-in-a-grid/
2329. Product Sales Analysis V,68.30%,Easy,https://leetcode.com/problems/product-sales-analysis-v/
2330. Valid Palindrome IV,76.00%,Medium,https://leetcode.com/problems/valid-palindrome-iv/
2331. Evaluate Boolean Binary Tree,78.30%,Easy,https://leetcode.com/problems/evaluate-boolean-binary-tree/
2332. The Latest Time to Catch a Bus,24.20%,Medium,https://leetcode.com/problems/the-latest-time-to-catch-a-bus/
2333. Minimum Sum of Squared Difference,25.40%,Medium,https://leetcode.com/problems/minimum-sum-of-squared-difference/
2334. Subarray With Elements Greater Than Varying Threshold,41.30%,Hard,https://leetcode.com/problems/subarray-with-elements-greater-than-varying-threshold/
2335. Minimum Amount of Time to Fill Cups,56.60%,Easy,https://leetcode.com/problems/minimum-amount-of-time-to-fill-cups/
2336. Smallest Number in Infinite Set,75.00%,Medium,https://leetcode.com/problems/smallest-number-in-infinite-set/
2337. Move Pieces to Obtain a String,47.70%,Medium,https://leetcode.com/problems/move-pieces-to-obtain-a-string/
2338. Count the Number of Ideal Arrays,26.30%,Hard,https://leetcode.com/problems/count-the-number-of-ideal-arrays/
2339. All the Matches of the League,87.60%,Easy,https://leetcode.com/problems/all-the-matches-of-the-league/
2340. Minimum Adjacent Swaps to Make a Valid Array,74.80%,Medium,https://leetcode.com/problems/minimum-adjacent-swaps-to-make-a-valid-array/
2341. Maximum Number of Pairs in Array,75.80%,Easy,https://leetcode.com/problems/maximum-number-of-pairs-in-array/
2342. Max Sum of a Pair With Equal Sum of Digits,53.30%,Medium,https://leetcode.com/problems/max-sum-of-a-pair-with-equal-sum-of-digits/
2343. Query Kth Smallest Trimmed Number,41.50%,Medium,https://leetcode.com/problems/query-kth-smallest-trimmed-number/
2344. Minimum Deletions to Make Array Divisible,56.60%,Hard,https://leetcode.com/problems/minimum-deletions-to-make-array-divisible/
2345. Finding the Number of Visible Mountains,41.70%,Medium,https://leetcode.com/problems/finding-the-number-of-visible-mountains/
2346. Compute the Rank as a Percentage,33.00%,Medium,https://leetcode.com/problems/compute-the-rank-as-a-percentage/
2347. Best Poker Hand,60.60%,Easy,https://leetcode.com/problems/best-poker-hand/
2348. Number of Zero-Filled Subarrays,66.80%,Medium,https://leetcode.com/problems/number-of-zero-filled-subarrays/
2349. Design a Number Container System,45.40%,Medium,https://leetcode.com/problems/design-a-number-container-system/
2350. Shortest Impossible Sequence of Rolls,68.00%,Hard,https://leetcode.com/problems/shortest-impossible-sequence-of-rolls/
2351. First Letter to Appear Twice,74.30%,Easy,https://leetcode.com/problems/first-letter-to-appear-twice/
2352. Equal Row and Column Pairs,70.60%,Medium,https://leetcode.com/problems/equal-row-and-column-pairs/
2353. Design a Food Rating System,34.60%,Medium,https://leetcode.com/problems/design-a-food-rating-system/
2354. Number of Excellent Pairs,45.90%,Hard,https://leetcode.com/problems/number-of-excellent-pairs/
2355. Maximum Number of Books You Can Take,43.90%,Hard,https://leetcode.com/problems/maximum-number-of-books-you-can-take/
2356. Number of Unique Subjects Taught by Each Teacher,88.00%,Easy,https://leetcode.com/problems/number-of-unique-subjects-taught-by-each-teacher/
2357. Make Array Zero by Subtracting Equal Amounts,72.40%,Easy,https://leetcode.com/problems/make-array-zero-by-subtracting-equal-amounts/
2358. Maximum Number of Groups Entering a Competition,67.60%,Medium,https://leetcode.com/problems/maximum-number-of-groups-entering-a-competition/
2359. Find Closest Node to Given Two Nodes,46.10%,Medium,https://leetcode.com/problems/find-closest-node-to-given-two-nodes/
2360. Longest Cycle in a Graph,50.60%,Hard,https://leetcode.com/problems/longest-cycle-in-a-graph/
2361. Minimum Costs Using the Train Line,76.00%,Hard,https://leetcode.com/problems/minimum-costs-using-the-train-line/
2362. Generate the Invoice,78.20%,Hard,https://leetcode.com/problems/generate-the-invoice/
2363. Merge Similar Items,75.50%,Easy,https://leetcode.com/problems/merge-similar-items/
2364. Count Number of Bad Pairs,41.00%,Medium,https://leetcode.com/problems/count-number-of-bad-pairs/
2365. Task Scheduler II,46.90%,Medium,https://leetcode.com/problems/task-scheduler-ii/
2366. Minimum Replacements to Sort the Array,40.90%,Hard,https://leetcode.com/problems/minimum-replacements-to-sort-the-array/
2367. Number of Arithmetic Triplets,83.50%,Easy,https://leetcode.com/problems/number-of-arithmetic-triplets/
2368. Reachable Nodes With Restrictions,57.80%,Medium,https://leetcode.com/problems/reachable-nodes-with-restrictions/
2369. Check if There is a Valid Partition For The Array,40.10%,Medium,https://leetcode.com/problems/check-if-there-is-a-valid-partition-for-the-array/
2370. Longest Ideal Subsequence,37.60%,Medium,https://leetcode.com/problems/longest-ideal-subsequence/
2371. Minimize Maximum Value in a Grid,70.40%,Hard,https://leetcode.com/problems/minimize-maximum-value-in-a-grid/
2372. Calculate the Influence of Each Salesperson,83.90%,Medium,https://leetcode.com/problems/calculate-the-influence-of-each-salesperson/
2373. Largest Local Values in a Matrix,83.20%,Easy,https://leetcode.com/problems/largest-local-values-in-a-matrix/
2374. Node With Highest Edge Score,46.60%,Medium,https://leetcode.com/problems/node-with-highest-edge-score/
2375. Construct Smallest Number From DI String,74.50%,Medium,https://leetcode.com/problems/construct-smallest-number-from-di-string/
2376. Count Special Integers,36.50%,Hard,https://leetcode.com/problems/count-special-integers/
2377. Sort the Olympic Table,78.00%,Easy,https://leetcode.com/problems/sort-the-olympic-table/
2378. Choose Edges to Maximize Score in a Tree,59.90%,Medium,https://leetcode.com/problems/choose-edges-to-maximize-score-in-a-tree/
2379. Minimum Recolors to Get K Consecutive Black Blocks,57.80%,Easy,https://leetcode.com/problems/minimum-recolors-to-get-k-consecutive-black-blocks/
2380. Time Needed to Rearrange a Binary String,49.10%,Medium,https://leetcode.com/problems/time-needed-to-rearrange-a-binary-string/
2381. Shifting Letters II,35.50%,Medium,https://leetcode.com/problems/shifting-letters-ii/
2382. Maximum Segment Sum After Removals,48.30%,Hard,https://leetcode.com/problems/maximum-segment-sum-after-removals/
2383. Minimum Hours of Training to Win a Competition,41.00%,Easy,https://leetcode.com/problems/minimum-hours-of-training-to-win-a-competition/
2384. Largest Palindromic Number,31.40%,Medium,https://leetcode.com/problems/largest-palindromic-number/
2385. Amount of Time for Binary Tree to Be Infected,56.90%,Medium,https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected/
2386. Find the K-Sum of an Array,38.10%,Hard,https://leetcode.com/problems/find-the-k-sum-of-an-array/
2387. Median of a Row Wise Sorted Matrix,68.70%,Medium,https://leetcode.com/problems/median-of-a-row-wise-sorted-matrix/
2388. Change Null Values in a Table to the Previous Value,61.80%,Medium,https://leetcode.com/problems/change-null-values-in-a-table-to-the-previous-value/
2389. Longest Subsequence With Limited Sum,72.20%,Easy,https://leetcode.com/problems/longest-subsequence-with-limited-sum/
2390. Removing Stars From a String,72.60%,Medium,https://leetcode.com/problems/removing-stars-from-a-string/
2391. Minimum Amount of Time to Collect Garbage,83.80%,Medium,https://leetcode.com/problems/minimum-amount-of-time-to-collect-garbage/
2392. Build a Matrix With Conditions,59.70%,Hard,https://leetcode.com/problems/build-a-matrix-with-conditions/
2393. Count Strictly Increasing Subarrays,72.70%,Medium,https://leetcode.com/problems/count-strictly-increasing-subarrays/
2394. Employees With Deductions,41.00%,Medium,https://leetcode.com/problems/employees-with-deductions/
2395. Find Subarrays With Equal Sum,64.30%,Easy,https://leetcode.com/problems/find-subarrays-with-equal-sum/
2396. Strictly Palindromic Number,87.50%,Medium,https://leetcode.com/problems/strictly-palindromic-number/
2397. Maximum Rows Covered by Columns,53.50%,Medium,https://leetcode.com/problems/maximum-rows-covered-by-columns/
2398. Maximum Number of Robots Within Budget,33.00%,Hard,https://leetcode.com/problems/maximum-number-of-robots-within-budget/
2399. Check Distances Between Same Letters,70.60%,Easy,https://leetcode.com/problems/check-distances-between-same-letters/
2400. Number of Ways to Reach a Position After Exactly k Steps,33.10%,Medium,https://leetcode.com/problems/number-of-ways-to-reach-a-position-after-exactly-k-steps/
2401. Longest Nice Subarray,49.20%,Medium,https://leetcode.com/problems/longest-nice-subarray/
2402. Meeting Rooms III,33.50%,Hard,https://leetcode.com/problems/meeting-rooms-iii/
2403. Minimum Time to Kill All Monsters,53.40%,Hard,https://leetcode.com/problems/minimum-time-to-kill-all-monsters/
2404. Most Frequent Even Element,50.80%,Easy,https://leetcode.com/problems/most-frequent-even-element/
2405. Optimal Partition of String,80.00%,Medium,https://leetcode.com/problems/optimal-partition-of-string/
2406. Divide Intervals Into Minimum Number of Groups,46.10%,Medium,https://leetcode.com/problems/divide-intervals-into-minimum-number-of-groups/
2407. Longest Increasing Subsequence II,22.20%,Hard,https://leetcode.com/problems/longest-increasing-subsequence-ii/
2408. Design SQL,83.30%,Medium,https://leetcode.com/problems/design-sql/
2409. Count Days Spent Together,43.90%,Easy,https://leetcode.com/problems/count-days-spent-together/
2410. Maximum Matching of Players With Trainers,61.20%,Medium,https://leetcode.com/problems/maximum-matching-of-players-with-trainers/
2411. Smallest Subarrays With Maximum Bitwise OR,41.80%,Medium,https://leetcode.com/problems/smallest-subarrays-with-maximum-bitwise-or/
2412. Minimum Money Required Before Transactions,39.60%,Hard,https://leetcode.com/problems/minimum-money-required-before-transactions/
2413. Smallest Even Multiple,87.60%,Easy,https://leetcode.com/problems/smallest-even-multiple/
2414. Length of the Longest Alphabetical Continuous Substring,56.70%,Medium,https://leetcode.com/problems/length-of-the-longest-alphabetical-continuous-substring/
2415. Reverse Odd Levels of Binary Tree,77.00%,Medium,https://leetcode.com/problems/reverse-odd-levels-of-binary-tree/
2416. Sum of Prefix Scores of Strings,43.90%,Hard,https://leetcode.com/problems/sum-of-prefix-scores-of-strings/
2417. Closest Fair Integer,44.40%,Medium,https://leetcode.com/problems/closest-fair-integer/
2418. Sort the People,80.40%,Easy,https://leetcode.com/problems/sort-the-people/
2419. Longest Subarray With Maximum Bitwise AND,48.20%,Medium,https://leetcode.com/problems/longest-subarray-with-maximum-bitwise-and/
2420. Find All Good Indices,37.60%,Medium,https://leetcode.com/problems/find-all-good-indices/
2421. Number of Good Paths,57.30%,Hard,https://leetcode.com/problems/number-of-good-paths/
2422. Merge Operations to Turn Array Into a Palindrome,69.60%,Medium,https://leetcode.com/problems/merge-operations-to-turn-array-into-a-palindrome/
2423. Remove Letter To Equalize Frequency,17.70%,Easy,https://leetcode.com/problems/remove-letter-to-equalize-frequency/
2424. Longest Uploaded Prefix,54.10%,Medium,https://leetcode.com/problems/longest-uploaded-prefix/
2425. Bitwise XOR of All Pairings,58.30%,Medium,https://leetcode.com/problems/bitwise-xor-of-all-pairings/
2426. Number of Pairs Satisfying Inequality,43.20%,Hard,https://leetcode.com/problems/number-of-pairs-satisfying-inequality/
2427. Number of Common Factors,79.40%,Easy,https://leetcode.com/problems/number-of-common-factors/
2428. Maximum Sum of an Hourglass,74.40%,Medium,https://leetcode.com/problems/maximum-sum-of-an-hourglass/
2429. Minimize XOR,42.70%,Medium,https://leetcode.com/problems/minimize-xor/
2430. Maximum Deletions on a String,32.00%,Hard,https://leetcode.com/problems/maximum-deletions-on-a-string/
2431. Maximize Total Tastiness of Purchased Fruits,66.20%,Medium,https://leetcode.com/problems/maximize-total-tastiness-of-purchased-fruits/
2432. The Employee That Worked on the Longest Task,49.60%,Easy,https://leetcode.com/problems/the-employee-that-worked-on-the-longest-task/
2433. Find The Original Array of Prefix Xor,85.30%,Medium,https://leetcode.com/problems/find-the-original-array-of-prefix-xor/
2434. Using a Robot to Print the Lexicographically Smallest String,38.40%,Medium,https://leetcode.com/problems/using-a-robot-to-print-the-lexicographically-smallest-string/
2435. Paths in Matrix Whose Sum Is Divisible by K,41.80%,Hard,https://leetcode.com/problems/paths-in-matrix-whose-sum-is-divisible-by-k/
2436. Minimum Split Into Subarrays With GCD Greater Than One,73.60%,Medium,https://leetcode.com/problems/minimum-split-into-subarrays-with-gcd-greater-than-one/
2437. Number of Valid Clock Times,43.50%,Easy,https://leetcode.com/problems/number-of-valid-clock-times/
2438. Range Product Queries of Powers,39.00%,Medium,https://leetcode.com/problems/range-product-queries-of-powers/
2439. Minimize Maximum of Array,47.30%,Medium,https://leetcode.com/problems/minimize-maximum-of-array/
2440. Create Components With Same Value,53.50%,Hard,https://leetcode.com/problems/create-components-with-same-value/
2441. Largest Positive Integer That Exists With Its Negative,68.00%,Easy,https://leetcode.com/problems/largest-positive-integer-that-exists-with-its-negative/
2442. Count Number of Distinct Integers After Reverse Operations,78.70%,Medium,https://leetcode.com/problems/count-number-of-distinct-integers-after-reverse-operations/
2443. Sum of Number and Its Reverse,46.00%,Medium,https://leetcode.com/problems/sum-of-number-and-its-reverse/
2444. Count Subarrays With Fixed Bounds,61.90%,Hard,https://leetcode.com/problems/count-subarrays-with-fixed-bounds/
2445. Number of Nodes With Value One,70.60%,Medium,https://leetcode.com/problems/number-of-nodes-with-value-one/
2446. Determine if Two Events Have Conflict,50.00%,Easy,https://leetcode.com/problems/determine-if-two-events-have-conflict/
2447. Number of Subarrays With GCD Equal to K,48.70%,Medium,https://leetcode.com/problems/number-of-subarrays-with-gcd-equal-to-k/
2448. Minimum Cost to Make Array Equal,34.80%,Hard,https://leetcode.com/problems/minimum-cost-to-make-array-equal/
2449. Minimum Number of Operations to Make Arrays Similar,62.90%,Hard,https://leetcode.com/problems/minimum-number-of-operations-to-make-arrays-similar/
2450. Number of Distinct Binary Strings After Applying Operations,66.70%,Medium,https://leetcode.com/problems/number-of-distinct-binary-strings-after-applying-operations/
2451. Odd String Difference,59.50%,Easy,https://leetcode.com/problems/odd-string-difference/
2452. Words Within Two Edits of Dictionary,60.10%,Medium,https://leetcode.com/problems/words-within-two-edits-of-dictionary/
2453. Destroy Sequential Targets,37.70%,Medium,https://leetcode.com/problems/destroy-sequential-targets/
2454. Next Greater Element IV,39.00%,Hard,https://leetcode.com/problems/next-greater-element-iv/
2455. Average Value of Even Numbers That Are Divisible by Three,59.40%,Easy,https://leetcode.com/problems/average-value-of-even-numbers-that-are-divisible-by-three/
2456. Most Popular Video Creator,43.70%,Medium,https://leetcode.com/problems/most-popular-video-creator/
2457. Minimum Addition to Make Integer Beautiful,36.90%,Medium,https://leetcode.com/problems/minimum-addition-to-make-integer-beautiful/
2458. Height of Binary Tree After Subtree Removal Queries,37.30%,Hard,https://leetcode.com/problems/height-of-binary-tree-after-subtree-removal-queries/
2459. Sort Array by Moving Items to Empty Space,50.00%,Hard,https://leetcode.com/problems/sort-array-by-moving-items-to-empty-space/
2460. Apply Operations to an Array,67.10%,Easy,https://leetcode.com/problems/apply-operations-to-an-array/
2461. Maximum Sum of Distinct Subarrays With Length K,34.30%,Medium,https://leetcode.com/problems/maximum-sum-of-distinct-subarrays-with-length-k/
2462. Total Cost to Hire K Workers,37.50%,Medium,https://leetcode.com/problems/total-cost-to-hire-k-workers/
2463. Minimum Total Distance Traveled,40.40%,Hard,https://leetcode.com/problems/minimum-total-distance-traveled/
2464. Minimum Subarrays in a Valid Split,55.80%,Medium,https://leetcode.com/problems/minimum-subarrays-in-a-valid-split/
2465. Number of Distinct Averages,58.20%,Easy,https://leetcode.com/problems/number-of-distinct-averages/
2466. Count Ways To Build Good Strings,56.90%,Medium,https://leetcode.com/problems/count-ways-to-build-good-strings/
2467. Most Profitable Path in a Tree,48.10%,Medium,https://leetcode.com/problems/most-profitable-path-in-a-tree/
2468. Split Message Based on Limit,44.60%,Hard,https://leetcode.com/problems/split-message-based-on-limit/
2469. Convert the Temperature,88.80%,Easy,https://leetcode.com/problems/convert-the-temperature/
2470. Number of Subarrays With LCM Equal to K,38.30%,Medium,https://leetcode.com/problems/number-of-subarrays-with-lcm-equal-to-k/
2471. Minimum Number of Operations to Sort a Binary Tree by Level,62.10%,Medium,https://leetcode.com/problems/minimum-number-of-operations-to-sort-a-binary-tree-by-level/
2472. Maximum Number of Non-overlapping Palindrome Substrings,38.30%,Hard,https://leetcode.com/problems/maximum-number-of-non-overlapping-palindrome-substrings/
2473. Minimum Cost to Buy Apples,62.00%,Medium,https://leetcode.com/problems/minimum-cost-to-buy-apples/
2474. Customers With Strictly Increasing Purchases,40.30%,Hard,https://leetcode.com/problems/customers-with-strictly-increasing-purchases/
2475. Number of Unequal Triplets in Array,70.80%,Easy,https://leetcode.com/problems/number-of-unequal-triplets-in-array/
2476. Closest Nodes Queries in a Binary Search Tree,40.90%,Medium,https://leetcode.com/problems/closest-nodes-queries-in-a-binary-search-tree/
2477. Minimum Fuel Cost to Report to the Capital,67.00%,Medium,https://leetcode.com/problems/minimum-fuel-cost-to-report-to-the-capital/
2478. Number of Beautiful Partitions,30.40%,Hard,https://leetcode.com/problems/number-of-beautiful-partitions/
2479. Maximum XOR of Two Non-Overlapping Subtrees,46.60%,Hard,https://leetcode.com/problems/maximum-xor-of-two-non-overlapping-subtrees/
2480. Form a Chemical Bond,62.10%,Easy,https://leetcode.com/problems/form-a-chemical-bond/
2481. Minimum Cuts to Divide a Circle,52.30%,Easy,https://leetcode.com/problems/minimum-cuts-to-divide-a-circle/
2482. Difference Between Ones and Zeros in Row and Column,79.70%,Medium,https://leetcode.com/problems/difference-between-ones-and-zeros-in-row-and-column/
2483. Minimum Penalty for a Shop,55.50%,Medium,https://leetcode.com/problems/minimum-penalty-for-a-shop/
2484. Count Palindromic Subsequences,33.30%,Hard,https://leetcode.com/problems/count-palindromic-subsequences/
2485. Find the Pivot Integer,80.10%,Easy,https://leetcode.com/problems/find-the-pivot-integer/
2486. Append Characters to String to Make Subsequence,64.10%,Medium,https://leetcode.com/problems/append-characters-to-string-to-make-subsequence/
2487. Remove Nodes From Linked List,67.00%,Medium,https://leetcode.com/problems/remove-nodes-from-linked-list/
2488. Count Subarrays With Median K,42.90%,Hard,https://leetcode.com/problems/count-subarrays-with-median-k/
2489. Number of Substrings With Fixed Ratio,58.50%,Medium,https://leetcode.com/problems/number-of-substrings-with-fixed-ratio/
2490. Circular Sentence,63.80%,Easy,https://leetcode.com/problems/circular-sentence/
2491. Divide Players Into Teams of Equal Skill,58.70%,Medium,https://leetcode.com/problems/divide-players-into-teams-of-equal-skill/
2492. Minimum Score of a Path Between Two Cities,57.80%,Medium,https://leetcode.com/problems/minimum-score-of-a-path-between-two-cities/
2493. Divide Nodes Into the Maximum Number of Groups,37.00%,Hard,https://leetcode.com/problems/divide-nodes-into-the-maximum-number-of-groups/
2494. Merge Overlapping Events in the Same Hall,22.10%,Hard,https://leetcode.com/problems/merge-overlapping-events-in-the-same-hall/
2495. Number of Subarrays Having Even Product,65.10%,Medium,https://leetcode.com/problems/number-of-subarrays-having-even-product/
2496. Maximum Value of a String in an Array,72.00%,Easy,https://leetcode.com/problems/maximum-value-of-a-string-in-an-array/
2497. Maximum Star Sum of a Graph,38.30%,Medium,https://leetcode.com/problems/maximum-star-sum-of-a-graph/
2498. Frog Jump II,60.80%,Medium,https://leetcode.com/problems/frog-jump-ii/
2499. Minimum Total Cost to Make Arrays Unequal,42.80%,Hard,https://leetcode.com/problems/minimum-total-cost-to-make-arrays-unequal/
2500. Delete Greatest Value in Each Row,80.10%,Easy,https://leetcode.com/problems/delete-greatest-value-in-each-row/
2501. Longest Square Streak in an Array,39.50%,Medium,https://leetcode.com/problems/longest-square-streak-in-an-array/
2502. Design Memory Allocator,52.30%,Medium,https://leetcode.com/problems/design-memory-allocator/
2503. Maximum Number of Points From Grid Queries,37.00%,Hard,https://leetcode.com/problems/maximum-number-of-points-from-grid-queries/
2504. Concatenate the Name and the Profession,61.30%,Easy,https://leetcode.com/problems/concatenate-the-name-and-the-profession/
2505. Bitwise OR of All Subsequence Sums,59.10%,Medium,https://leetcode.com/problems/bitwise-or-of-all-subsequence-sums/
2506. Count Pairs Of Similar Strings,70.00%,Easy,https://leetcode.com/problems/count-pairs-of-similar-strings/
2507. Smallest Value After Replacing With Sum of Prime Factors,48.40%,Medium,https://leetcode.com/problems/smallest-value-after-replacing-with-sum-of-prime-factors/
2508. Add Edges to Make Degrees of All Nodes Even,32.40%,Hard,https://leetcode.com/problems/add-edges-to-make-degrees-of-all-nodes-even/
2509. Cycle Length Queries in a Tree,56.70%,Hard,https://leetcode.com/problems/cycle-length-queries-in-a-tree/
2510. Check if There is a Path With Equal Number of 0's And 1's,52.30%,Medium,https://leetcode.com/problems/check-if-there-is-a-path-with-equal-number-of-0s-and-1s/
2511. Maximum Enemy Forts That Can Be Captured,37.80%,Easy,https://leetcode.com/problems/maximum-enemy-forts-that-can-be-captured/
2512. Reward Top K Students,46.30%,Medium,https://leetcode.com/problems/reward-top-k-students/
2513. Minimize the Maximum of Two Arrays,26.60%,Medium,https://leetcode.com/problems/minimize-the-maximum-of-two-arrays/
2514. Count Anagrams,33.70%,Hard,https://leetcode.com/problems/count-anagrams/
2515. Shortest Distance to Target String in a Circular Array,48.90%,Easy,https://leetcode.com/problems/shortest-distance-to-target-string-in-a-circular-array/
2516. Take K of Each Character From Left and Right,34.00%,Medium,https://leetcode.com/problems/take-k-of-each-character-from-left-and-right/
2517. Maximum Tastiness of Candy Basket,64.20%,Medium,https://leetcode.com/problems/maximum-tastiness-of-candy-basket/
2518. Number of Great Partitions,32.50%,Hard,https://leetcode.com/problems/number-of-great-partitions/
2519. Count the Number of K-Big Indices,63.50%,Hard,https://leetcode.com/problems/count-the-number-of-k-big-indices/
2520. Count the Digits That Divide a Number,84.60%,Easy,https://leetcode.com/problems/count-the-digits-that-divide-a-number/
2521. Distinct Prime Factors of Product of Array,50.30%,Medium,https://leetcode.com/problems/distinct-prime-factors-of-product-of-array/
2522. Partition String Into Substrings With Values at Most K,46.50%,Medium,https://leetcode.com/problems/partition-string-into-substrings-with-values-at-most-k/
2523. Closest Prime Numbers in Range,36.90%,Medium,https://leetcode.com/problems/closest-prime-numbers-in-range/
2524. Maximum Frequency Score of a Subarray,40.30%,Hard,https://leetcode.com/problems/maximum-frequency-score-of-a-subarray/
2525. Categorize Box According to Criteria,34.30%,Easy,https://leetcode.com/problems/categorize-box-according-to-criteria/
2526. Find Consecutive Integers from a Data Stream,45.70%,Medium,https://leetcode.com/problems/find-consecutive-integers-from-a-data-stream/
2527. Find Xor-Beauty of Array,70.10%,Medium,https://leetcode.com/problems/find-xor-beauty-of-array/
2528. Maximize the Minimum Powered City,32.10%,Hard,https://leetcode.com/problems/maximize-the-minimum-powered-city/
2529. Maximum Count of Positive Integer and Negative Integer,73.90%,Easy,https://leetcode.com/problems/maximum-count-of-positive-integer-and-negative-integer/
2530. Maximal Score After Applying K Operations,43.70%,Medium,https://leetcode.com/problems/maximal-score-after-applying-k-operations/
2531. Make Number of Distinct Characters Equal,25.60%,Medium,https://leetcode.com/problems/make-number-of-distinct-characters-equal/
2532. Time to Cross a Bridge,51.60%,Hard,https://leetcode.com/problems/time-to-cross-a-bridge/
2533. Number of Good Binary Strings,64.60%,Medium,https://leetcode.com/problems/number-of-good-binary-strings/
2534. Time Taken to Cross the Door,64.60%,Hard,https://leetcode.com/problems/time-taken-to-cross-the-door/
2535. Difference Between Element Sum and Digit Sum of an Array,84.40%,Easy,https://leetcode.com/problems/difference-between-element-sum-and-digit-sum-of-an-array/
2536. Increment Submatrices by One,48.60%,Medium,https://leetcode.com/problems/increment-submatrices-by-one/
2537. Count the Number of Good Subarrays,48.10%,Medium,https://leetcode.com/problems/count-the-number-of-good-subarrays/
2538. Difference Between Maximum and Minimum Price Sum,34.70%,Hard,https://leetcode.com/problems/difference-between-maximum-and-minimum-price-sum/
2539. Count the Number of Good Subsequences,71.60%,Medium,https://leetcode.com/problems/count-the-number-of-good-subsequences/
2540. Minimum Common Value,51.00%,Easy,https://leetcode.com/problems/minimum-common-value/
2541. Minimum Operations to Make Array Equal II,31.00%,Medium,https://leetcode.com/problems/minimum-operations-to-make-array-equal-ii/
2542. Maximum Subsequence Score,56.70%,Medium,https://leetcode.com/problems/maximum-subsequence-score/
2543. Check if Point Is Reachable,42.50%,Hard,https://leetcode.com/problems/check-if-point-is-reachable/
2544. Alternating Digit Sum,69.30%,Easy,https://leetcode.com/problems/alternating-digit-sum/
2545. Sort the Students by Their Kth Score,85.60%,Medium,https://leetcode.com/problems/sort-the-students-by-their-kth-score/
2546. Apply Bitwise Operations to Make Strings Equal,40.70%,Medium,https://leetcode.com/problems/apply-bitwise-operations-to-make-strings-equal/
2547. Minimum Cost to Split an Array,38.80%,Hard,https://leetcode.com/problems/minimum-cost-to-split-an-array/
2548. Maximum Price to Fill a Bag,67.30%,Medium,https://leetcode.com/problems/maximum-price-to-fill-a-bag/
2549. Count Distinct Numbers on Board,60.00%,Easy,https://leetcode.com/problems/count-distinct-numbers-on-board/
2550. Count Collisions of Monkeys on a Polygon,26.60%,Medium,https://leetcode.com/problems/count-collisions-of-monkeys-on-a-polygon/
2551. Put Marbles in Bags,52.50%,Hard,https://leetcode.com/problems/put-marbles-in-bags/
2552. Count Increasing Quadruplets,30.80%,Hard,https://leetcode.com/problems/count-increasing-quadruplets/
2553. Separate the Digits in an Array,79.50%,Easy,https://leetcode.com/problems/separate-the-digits-in-an-array/
2554. Maximum Number of Integers to Choose From a Range I,52.60%,Medium,https://leetcode.com/problems/maximum-number-of-integers-to-choose-from-a-range-i/
2555. Maximize Win From Two Segments,31.00%,Medium,https://leetcode.com/problems/maximize-win-from-two-segments/
2556. Disconnect Path in a Binary Matrix by at Most One Flip,28.40%,Medium,https://leetcode.com/problems/disconnect-path-in-a-binary-matrix-by-at-most-one-flip/
