Questions,Acceptance Rate,Difficulty,Links,Liked,Leetcode Tags,Premium
2023. Number of Pairs of Strings With Concatenation Equal to Target,73.60%,Medium,https://leetcode.com/problems/number-of-pairs-of-strings-with-concatenation-equal-to-target/,553,"Array,String",
2024. Maximize the Confusion of an Exam,60.60%,Medium,https://leetcode.com/problems/maximize-the-confusion-of-an-exam/,972,"String,Binary Search,Sliding Window,Prefix Sum",
2025. Maximum Number of Ways to Partition an Array,32.80%,Hard,https://leetcode.com/problems/maximum-number-of-ways-to-partition-an-array/,394,"Array,Hash Table,Counting,Enumeration,Prefix Sum",
2026. Low-Quality Problems,84.70%,Easy,https://leetcode.com/problems/low-quality-problems/,,,True
2027. Minimum Moves to Convert String,54.00%,Easy,https://leetcode.com/problems/minimum-moves-to-convert-string/,,,True
2028. Find Missing Observations,44.90%,Medium,https://leetcode.com/problems/find-missing-observations/,395,"Array,Math,Simulation",
2029. Stone Game IX,26.70%,Medium,https://leetcode.com/problems/stone-game-ix/,198,"Array,Math,Greedy,Counting,Game Theory",
2030. Smallest K-Length Subsequence With Occurrences of a Letter,38.50%,Hard,https://leetcode.com/problems/smallest-k-length-subsequence-with-occurrences-of-a-letter/,384,"String,Stack,Greedy,Monotonic Stack",
2031. Count Subarrays With More Ones Than Zeros,51.80%,Medium,https://leetcode.com/problems/count-subarrays-with-more-ones-than-zeros/,,,True
2032. Two Out of Three,73.70%,Easy,https://leetcode.com/problems/two-out-of-three/,,,True
2033. Minimum Operations to Make a Uni-Value Grid,52.30%,Medium,https://leetcode.com/problems/minimum-operations-to-make-a-uni-value-grid/,475,"Array,Math,Sorting,Matrix",
2034. Stock Price Fluctuation,48.80%,Medium,https://leetcode.com/problems/stock-price-fluctuation/,1K,"Hash Table,Design,Heap (Priority Queue),Data Stream,Ordered Set",
2035. Partition Array Into Two Arrays to Minimize Sum Difference,18.90%,Hard,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference/,2.1K,"Array,Two Pointers,Binary Search,Dynamic Programming,Bit Manipulation,Ordered Set,Bitmask",
2036. Maximum Alternating Subarray Sum,40.90%,Medium,https://leetcode.com/problems/maximum-alternating-subarray-sum/,,,True
2037. Minimum Number of Moves to Seat Everyone,81.80%,Easy,https://leetcode.com/problems/minimum-number-of-moves-to-seat-everyone/,,,True
2038. Remove Colored Pieces if Both Neighbors are the Same Color,58.00%,Medium,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color/,416,"Math,String,Greedy,Game Theory",
2039. The Time When the Network Becomes Idle,50.80%,Medium,https://leetcode.com/problems/the-time-when-the-network-becomes-idle/,534,"Array,Breadth-First Search,Graph",
2040. Kth Smallest Product of Two Sorted Arrays,28.70%,Hard,https://leetcode.com/problems/kth-smallest-product-of-two-sorted-arrays/,567,"Array,Binary Search",
2041. Accepted Candidates From the Interviews,79.00%,Medium,https://leetcode.com/problems/accepted-candidates-from-the-interviews/,,,True
2042. Check if Numbers Are Ascending in a Sentence,67.40%,Easy,https://leetcode.com/problems/check-if-numbers-are-ascending-in-a-sentence/,493,String,
2043. Simple Bank System,65.30%,Medium,https://leetcode.com/problems/simple-bank-system/,178,"Array,Hash Table,Design,Simulation",
2044. Count Number of Maximum Bitwise-OR Subsets,75.70%,Medium,https://leetcode.com/problems/count-number-of-maximum-bitwise-or-subsets/,505,"Array,Backtracking,Bit Manipulation",
2045. Second Minimum Time to Reach Destination,39.30%,Hard,https://leetcode.com/problems/second-minimum-time-to-reach-destination/,575,"Breadth-First Search,Graph,Shortest Path",
2046. Sort Linked List Already Sorted Using Absolute Values,68.40%,Medium,https://leetcode.com/problems/sort-linked-list-already-sorted-using-absolute-values/,,,True
2047. Number of Valid Words in a Sentence,29.00%,Easy,https://leetcode.com/problems/number-of-valid-words-in-a-sentence/,237,String,
2048. Next Greater Numerically Balanced Number,47.00%,Medium,https://leetcode.com/problems/next-greater-numerically-balanced-number/,164,"Math,Backtracking,Enumeration",
2049. Count Nodes With the Highest Score,47.70%,Medium,https://leetcode.com/problems/count-nodes-with-the-highest-score/,822,"Array,Tree,Depth-First Search,Binary Tree",
2050. Parallel Courses III,59.20%,Hard,https://leetcode.com/problems/parallel-courses-iii/,672,"Array,Dynamic Programming,Graph,Topological Sort",
2051. The Category of Each Member in the Store,71.10%,Medium,https://leetcode.com/problems/the-category-of-each-member-in-the-store/,,,True
2052. Minimum Cost to Separate Sentence Into Rows,50.40%,Medium,https://leetcode.com/problems/minimum-cost-to-separate-sentence-into-rows/,,,True
2053. Kth Distinct String in an Array,72.10%,Easy,https://leetcode.com/problems/kth-distinct-string-in-an-array/,627,"Array,Hash Table,String,Counting",
2054. Two Best Non-Overlapping Events,45.30%,Medium,https://leetcode.com/problems/two-best-non-overlapping-events/,663,"Array,Binary Search,Dynamic Programming,Sorting,Heap (Priority Queue)",
2055. Plates Between Candles,44.60%,Medium,https://leetcode.com/problems/plates-between-candles/,920,"Array,String,Binary Search,Prefix Sum",
2056. Number of Valid Move Combinations On Chessboard,54.70%,Hard,https://leetcode.com/problems/number-of-valid-move-combinations-on-chessboard/,,,True
2057. Smallest Index With Equal Value,71.70%,Easy,https://leetcode.com/problems/smallest-index-with-equal-value/,,,True
2058. Find the Minimum and Maximum Number of Nodes Between Critical Points,57.00%,Medium,https://leetcode.com/problems/find-the-minimum-and-maximum-number-of-nodes-between-critical-points/,,,True
2059. Minimum Operations to Convert Number,47.80%,Medium,https://leetcode.com/problems/minimum-operations-to-convert-number/,551,"Array,Breadth-First Search",
2060. Check if an Original String Exists Given Two Encoded Strings,40.30%,Hard,https://leetcode.com/problems/check-if-an-original-string-exists-given-two-encoded-strings/,260,"String,Dynamic Programming",
2061. Number of Spaces Cleaning Robot Cleaned,54.60%,Medium,https://leetcode.com/problems/number-of-spaces-cleaning-robot-cleaned/,,,True
2062. Count Vowel Substrings of a String,66.10%,Easy,https://leetcode.com/problems/count-vowel-substrings-of-a-string/,756,"Hash Table,String",
2063. Vowels of All Substrings,54.60%,Medium,https://leetcode.com/problems/vowels-of-all-substrings/,685,"Math,String,Dynamic Programming,Combinatorics",
2064. Minimized Maximum of Products Distributed to Any Store,50.60%,Medium,https://leetcode.com/problems/minimized-maximum-of-products-distributed-to-any-store/,822,"Array,Binary Search",
2065. Maximum Path Quality of a Graph,56.90%,Hard,https://leetcode.com/problems/maximum-path-quality-of-a-graph/,513,"Array,Backtracking,Graph",
2066. Account Balance,83.90%,Medium,https://leetcode.com/problems/account-balance/,,,True
2067. Number of Equal Count Substrings,48.40%,Medium,https://leetcode.com/problems/number-of-equal-count-substrings/,,,True
2068. Check Whether Two Strings are Almost Equivalent,63.80%,Easy,https://leetcode.com/problems/check-whether-two-strings-are-almost-equivalent/,,,True
2069. Walking Robot Simulation II,23.60%,Medium,https://leetcode.com/problems/walking-robot-simulation-ii/,142,"Design,Simulation",
2070. Most Beautiful Item for Each Query,49.40%,Medium,https://leetcode.com/problems/most-beautiful-item-for-each-query/,492,"Array,Binary Search,Sorting",
2071. Maximum Number of Tasks You Can Assign,33.60%,Hard,https://leetcode.com/problems/maximum-number-of-tasks-you-can-assign/,415,"Array,Binary Search,Greedy,Queue,Sorting,Monotonic Queue",
2072. The Winner University,72.30%,Easy,https://leetcode.com/problems/the-winner-university/,,,True
2073. Time Needed to Buy Tickets,62.40%,Easy,https://leetcode.com/problems/time-needed-to-buy-tickets/,709,"Array,Queue,Simulation",
2074. Reverse Nodes in Even Length Groups,54.10%,Medium,https://leetcode.com/problems/reverse-nodes-in-even-length-groups/,492,Linked List,
2075. Decode the Slanted Ciphertext,50.00%,Medium,https://leetcode.com/problems/decode-the-slanted-ciphertext/,218,"String,Simulation",
2076. Process Restricted Friend Requests,53.30%,Hard,https://leetcode.com/problems/process-restricted-friend-requests/,521,"Union Find,Graph",
2077. Paths in Maze That Lead to Same Room,55.30%,Medium,https://leetcode.com/problems/paths-in-maze-that-lead-to-same-room/,,,True
2078. Two Furthest Houses With Different Colors,66.80%,Easy,https://leetcode.com/problems/two-furthest-houses-with-different-colors/,769,"Array,Greedy",
2079. Watering Plants,79.80%,Medium,https://leetcode.com/problems/watering-plants/,724,Array,
2080. Range Frequency Queries,38.70%,Medium,https://leetcode.com/problems/range-frequency-queries/,,,True
2081. Sum of k-Mirror Numbers,41.90%,Hard,https://leetcode.com/problems/sum-of-k-mirror-numbers/,108,"Math,Enumeration",
2082. The Number of Rich Customers,79.80%,Easy,https://leetcode.com/problems/the-number-of-rich-customers/,,,True
2083. Substrings That Begin and End With the Same Letter,68.00%,Medium,https://leetcode.com/problems/substrings-that-begin-and-end-with-the-same-letter/,,,True
2084. Drop Type 1 Orders for Customers With Type 0 Orders,88.00%,Medium,https://leetcode.com/problems/drop-type-1-orders-for-customers-with-type-0-orders/,,,True
2085. Count Common Words With One Occurrence,70.00%,Easy,https://leetcode.com/problems/count-common-words-with-one-occurrence/,651,"Array,Hash Table,String,Counting",
2086. Minimum Number of Food Buckets to Feed the Hamsters,44.90%,Medium,https://leetcode.com/problems/minimum-number-of-food-buckets-to-feed-the-hamsters/,458,"String,Dynamic Programming,Greedy",
2087. Minimum Cost Homecoming of a Robot in a Grid,50.80%,Medium,https://leetcode.com/problems/minimum-cost-homecoming-of-a-robot-in-a-grid/,538,"Array,Greedy,Matrix",
2088. Count Fertile Pyramids in a Land,63.00%,Hard,https://leetcode.com/problems/count-fertile-pyramids-in-a-land/,287,"Array,Dynamic Programming,Matrix",
2089. Find Target Indices After Sorting Array,76.00%,Easy,https://leetcode.com/problems/find-target-indices-after-sorting-array/,1.4K,"Array,Binary Search,Sorting",
2090. K Radius Subarray Averages,42.80%,Medium,https://leetcode.com/problems/k-radius-subarray-averages/,516,"Array,Sliding Window",
2091. Removing Minimum and Maximum From Array,55.40%,Medium,https://leetcode.com/problems/removing-minimum-and-maximum-from-array/,749,"Array,Greedy",
2092. Find All People With Secret,34.20%,Hard,https://leetcode.com/problems/find-all-people-with-secret/,706,"Depth-First Search,Breadth-First Search,Union Find,Graph,Sorting",
2093. Minimum Cost to Reach City With Discounts,56.10%,Medium,https://leetcode.com/problems/minimum-cost-to-reach-city-with-discounts/,,,True
2094. Finding 3-Digit Even Numbers,57.90%,Easy,https://leetcode.com/problems/finding-3-digit-even-numbers/,435,"Array,Hash Table,Sorting,Enumeration",
2095. Delete the Middle Node of a Linked List,59.20%,Medium,https://leetcode.com/problems/delete-the-middle-node-of-a-linked-list/,3K,"Linked List,Two Pointers",
2096. Step-By-Step Directions From a Binary Tree Node to Another,48.50%,Medium,https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another/,2.1K,"String,Tree,Depth-First Search,Binary Tree",
2097. Valid Arrangement of Pairs,41.00%,Hard,https://leetcode.com/problems/valid-arrangement-of-pairs/,401,"Depth-First Search,Graph,Eulerian Circuit",
2098. Subsequence of Size K With the Largest Even Sum,38.30%,Medium,https://leetcode.com/problems/subsequence-of-size-k-with-the-largest-even-sum/,,,True
2099. Find Subsequence of Length K With the Largest Sum,42.80%,Easy,https://leetcode.com/problems/find-subsequence-of-length-k-with-the-largest-sum/,984,"Array,Hash Table,Sorting,Heap (Priority Queue)",
2100. Find Good Days to Rob the Bank,49.10%,Medium,https://leetcode.com/problems/find-good-days-to-rob-the-bank/,738,"Array,Dynamic Programming,Prefix Sum",
2101. Detonate the Maximum Bombs,42.30%,Medium,https://leetcode.com/problems/detonate-the-maximum-bombs/,1.1K,"Array,Math,Depth-First Search,Breadth-First Search,Graph,Geometry",
2102. Sequentially Ordinal Rank Tracker,65.60%,Hard,https://leetcode.com/problems/sequentially-ordinal-rank-tracker/,334,"Design,Heap (Priority Queue),Data Stream,Ordered Set",
2103. Rings and Rods,81.10%,Easy,https://leetcode.com/problems/rings-and-rods/,768,"Hash Table,String",
2104. Sum of Subarray Ranges,60.40%,Medium,https://leetcode.com/problems/sum-of-subarray-ranges/,1.8K,"Array,Stack,Monotonic Stack",
2105. Watering Plants II,49.00%,Medium,https://leetcode.com/problems/watering-plants-ii/,237,"Array,Two Pointers,Simulation",
2106. Maximum Fruits Harvested After at Most K Steps,35.10%,Hard,https://leetcode.com/problems/maximum-fruits-harvested-after-at-most-k-steps/,452,"Array,Binary Search,Sliding Window,Prefix Sum",
2107. Number of Unique Flavors After Sharing K Candies,55.90%,Medium,https://leetcode.com/problems/number-of-unique-flavors-after-sharing-k-candies/,,,True
2108. Find First Palindromic String in the Array,78.60%,Easy,https://leetcode.com/problems/find-first-palindromic-string-in-the-array/,811,"Array,Two Pointers,String",
2109. Adding Spaces to a String,56.60%,Medium,https://leetcode.com/problems/adding-spaces-to-a-string/,,,True
2110. Number of Smooth Descent Periods of a Stock,58.00%,Medium,https://leetcode.com/problems/number-of-smooth-descent-periods-of-a-stock/,580,"Array,Math,Dynamic Programming",
2111. Minimum Operations to Make the Array K-Increasing,37.70%,Hard,https://leetcode.com/problems/minimum-operations-to-make-the-array-k-increasing/,624,"Array,Binary Search",
2112. The Airport With the Most Traffic,70.20%,Medium,https://leetcode.com/problems/the-airport-with-the-most-traffic/,,,True
2113. Elements in Array After Removing and Replacing Elements,73.30%,Medium,https://leetcode.com/problems/elements-in-array-after-removing-and-replacing-elements/,,,True
2114. Maximum Number of Words Found in Sentences,86.90%,Easy,https://leetcode.com/problems/maximum-number-of-words-found-in-sentences/,1.4K,"Array,String",
2115. Find All Possible Recipes from Given Supplies,48.60%,Medium,https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies/,1.5K,"Array,Hash Table,String,Graph,Topological Sort",
2116. Check if a Parentheses String Can Be Valid,31.00%,Medium,https://leetcode.com/problems/check-if-a-parentheses-string-can-be-valid/,892,"String,Stack,Greedy",
2117. Abbreviating the Product of a Range,26.80%,Hard,https://leetcode.com/problems/abbreviating-the-product-of-a-range/,77,Math,
2118. Build the Equation,57.00%,Hard,https://leetcode.com/problems/build-the-equation/,,,True
2119. A Number After a Double Reversal,77.30%,Easy,https://leetcode.com/problems/a-number-after-a-double-reversal/,521,Math,
2120. Execution of All Suffix Instructions Staying in a Grid,82.80%,Medium,https://leetcode.com/problems/execution-of-all-suffix-instructions-staying-in-a-grid/,446,"String,Simulation",
2121. Intervals Between Identical Elements,43.60%,Medium,https://leetcode.com/problems/intervals-between-identical-elements/,785,"Array,Hash Table,Prefix Sum",
2122. Recover the Original Array,38.30%,Hard,https://leetcode.com/problems/recover-the-original-array/,335,"Array,Hash Table,Sorting,Enumeration",
2123. Minimum Operations to Remove Adjacent Ones in Matrix,41.10%,Hard,https://leetcode.com/problems/minimum-operations-to-remove-adjacent-ones-in-matrix/,,,True
2124. Check if All A's Appears Before All B's,71.20%,Easy,https://leetcode.com/problems/check-if-all-as-appears-before-all-bs/,612,String,
2125. Number of Laser Beams in a Bank,81.80%,Medium,https://leetcode.com/problems/number-of-laser-beams-in-a-bank/,711,"Array,Math,String,Matrix",
2126. Destroying Asteroids,50.10%,Medium,https://leetcode.com/problems/destroying-asteroids/,392,"Array,Greedy,Sorting",
2127. Maximum Employees to Be Invited to a Meeting,34.90%,Hard,https://leetcode.com/problems/maximum-employees-to-be-invited-to-a-meeting/,802,"Depth-First Search,Graph,Topological Sort",
2128. Remove All Ones With Row and Column Flips,76.30%,Medium,https://leetcode.com/problems/remove-all-ones-with-row-and-column-flips/,,,True
2129. Capitalize the Title,62.30%,Easy,https://leetcode.com/problems/capitalize-the-title/,595,String,
2130. Maximum Twin Sum of a Linked List,82.70%,Medium,https://leetcode.com/problems/maximum-twin-sum-of-a-linked-list/,2.7K,"Linked List,Two Pointers,Stack",
2131. Longest Palindrome by Concatenating Two Letter Words,48.30%,Medium,https://leetcode.com/problems/longest-palindrome-by-concatenating-two-letter-words/,2.2K,"Array,Hash Table,String,Greedy,Counting",
2132. Stamping the Grid,31.60%,Hard,https://leetcode.com/problems/stamping-the-grid/,335,"Array,Greedy,Matrix,Prefix Sum",
2133. Check if Every Row and Column Contains All Numbers,51.80%,Easy,https://leetcode.com/problems/check-if-every-row-and-column-contains-all-numbers/,806,"Array,Hash Table,Matrix",
2134. Minimum Swaps to Group All 1's Together II,51.20%,Medium,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together-ii/,921,"Array,Sliding Window",
2135. Count Words Obtained After Adding a Letter,42.70%,Medium,https://leetcode.com/problems/count-words-obtained-after-adding-a-letter/,601,"Array,Hash Table,String,Bit Manipulation,Sorting",
2136. Earliest Possible Day of Full Bloom,72.90%,Hard,https://leetcode.com/problems/earliest-possible-day-of-full-bloom/,1.4K,"Array,Greedy,Sorting",
2137. Pour Water Between Buckets to Make Water Levels Equal,67.00%,Medium,https://leetcode.com/problems/pour-water-between-buckets-to-make-water-levels-equal/,,,True
2138. Divide a String Into Groups of Size k,65.50%,Easy,https://leetcode.com/problems/divide-a-string-into-groups-of-size-k/,391,"String,Simulation",
2139. Minimum Moves to Reach Target Score,49.00%,Medium,https://leetcode.com/problems/minimum-moves-to-reach-target-score/,817,"Math,Greedy",
2140. Solving Questions With Brainpower,55.60%,Medium,https://leetcode.com/problems/solving-questions-with-brainpower/,2K,"Array,Dynamic Programming",
2141. Maximum Running Time of N Computers,39.10%,Hard,https://leetcode.com/problems/maximum-running-time-of-n-computers/,654,"Array,Binary Search,Greedy,Sorting",
2142. The Number of Passengers in Each Bus I,49.30%,Medium,https://leetcode.com/problems/the-number-of-passengers-in-each-bus-i/,,,True
2143. Choose Numbers From Two Arrays in Range,52.50%,Hard,https://leetcode.com/problems/choose-numbers-from-two-arrays-in-range/,,,True
2144. Minimum Cost of Buying Candies With Discount,60.80%,Easy,https://leetcode.com/problems/minimum-cost-of-buying-candies-with-discount/,468,"Array,Greedy,Sorting",
2145. Count the Hidden Sequences,37.00%,Medium,https://leetcode.com/problems/count-the-hidden-sequences/,,,True
2146. K Highest Ranked Items Within a Price Range,41.60%,Medium,https://leetcode.com/problems/k-highest-ranked-items-within-a-price-range/,434,"Array,Breadth-First Search,Sorting,Heap (Priority Queue),Matrix",
2147. Number of Ways to Divide a Long Corridor,39.50%,Hard,https://leetcode.com/problems/number-of-ways-to-divide-a-long-corridor/,318,"Math,String,Dynamic Programming",
2148. Count Elements With Strictly Smaller and Greater Elements,59.60%,Easy,https://leetcode.com/problems/count-elements-with-strictly-smaller-and-greater-elements/,508,"Array,Sorting",
2149. Rearrange Array Elements by Sign,81.20%,Medium,https://leetcode.com/problems/rearrange-array-elements-by-sign/,1.6K,"Array,Two Pointers,Simulation",
2150. Find All Lonely Numbers in the Array,60.40%,Medium,https://leetcode.com/problems/find-all-lonely-numbers-in-the-array/,487,"Array,Hash Table,Counting",
2151. Maximum Good People Based on Statements,49.20%,Hard,https://leetcode.com/problems/maximum-good-people-based-on-statements/,441,"Array,Backtracking,Bit Manipulation,Enumeration",
2152. Minimum Number of Lines to Cover Points,47.30%,Medium,https://leetcode.com/problems/minimum-number-of-lines-to-cover-points/,,,True
2153. The Number of Passengers in Each Bus II,44.80%,Hard,https://leetcode.com/problems/the-number-of-passengers-in-each-bus-ii/,,,True
2154. Keep Multiplying Found Values by Two,72.20%,Easy,https://leetcode.com/problems/keep-multiplying-found-values-by-two/,572,"Array,Hash Table,Sorting,Simulation",
2155. All Divisions With the Highest Score of a Binary Array,63.60%,Medium,https://leetcode.com/problems/all-divisions-with-the-highest-score-of-a-binary-array/,438,Array,
2156. Find Substring With Given Hash Value,22.40%,Hard,https://leetcode.com/problems/find-substring-with-given-hash-value/,381,"String,Sliding Window,Rolling Hash,Hash Function",
2157. Groups of Strings,25.60%,Hard,https://leetcode.com/problems/groups-of-strings/,401,"String,Bit Manipulation,Union Find",
2158. Amount of New Area Painted Each Day,54.60%,Hard,https://leetcode.com/problems/amount-of-new-area-painted-each-day/,,,True
2159. Order Two Columns Independently,59.80%,Medium,https://leetcode.com/problems/order-two-columns-independently/,,,True
2160. Minimum Sum of Four Digit Number After Splitting Digits,86.50%,Easy,https://leetcode.com/problems/minimum-sum-of-four-digit-number-after-splitting-digits/,1.1K,"Math,Greedy,Sorting",
2161. Partition Array According to Given Pivot,84.80%,Medium,https://leetcode.com/problems/partition-array-according-to-given-pivot/,825,"Array,Two Pointers,Simulation",
2162. Minimum Cost to Set Cooking Time,40.10%,Medium,https://leetcode.com/problems/minimum-cost-to-set-cooking-time/,184,"Math,Enumeration",
2163. Minimum Difference in Sums After Removal of Elements,47.50%,Hard,https://leetcode.com/problems/minimum-difference-in-sums-after-removal-of-elements/,566,"Array,Dynamic Programming,Heap (Priority Queue)",
2164. Sort Even and Odd Indices Independently,64.40%,Easy,https://leetcode.com/problems/sort-even-and-odd-indices-independently/,590,"Array,Sorting",
2165. Smallest Value of the Rearranged Number,51.40%,Medium,https://leetcode.com/problems/smallest-value-of-the-rearranged-number/,542,"Math,Sorting",
2166. Design Bitset,31.70%,Medium,https://leetcode.com/problems/design-bitset/,507,"Array,Hash Table,Design",
2167. Minimum Time to Remove All Cars Containing Illegal Goods,40.80%,Hard,https://leetcode.com/problems/minimum-time-to-remove-all-cars-containing-illegal-goods/,614,"String,Dynamic Programming",
2168. Unique Substrings With Equal Digit Frequency,59.80%,Medium,https://leetcode.com/problems/unique-substrings-with-equal-digit-frequency/,,,True
2169. Count Operations to Obtain Zero,74.70%,Easy,https://leetcode.com/problems/count-operations-to-obtain-zero/,500,"Math,Simulation",
2170. Minimum Operations to Make the Array Alternating,33.10%,Medium,https://leetcode.com/problems/minimum-operations-to-make-the-array-alternating/,516,"Array,Hash Table,Greedy,Counting",
2171. Removing Minimum Number of Magic Beans,42.10%,Medium,https://leetcode.com/problems/removing-minimum-number-of-magic-beans/,734,"Array,Sorting,Prefix Sum",
2172. Maximum AND Sum of Array,48.40%,Hard,https://leetcode.com/problems/maximum-and-sum-of-array/,415,"Array,Dynamic Programming,Bit Manipulation,Bitmask",
2173. Longest Winning Streak,54.10%,Hard,https://leetcode.com/problems/longest-winning-streak/,,,True
2174. Remove All Ones With Row and Column Flips II,68.30%,Medium,https://leetcode.com/problems/remove-all-ones-with-row-and-column-flips-ii/,,,True
2175. The Change in Global Rankings,63.20%,Medium,https://leetcode.com/problems/the-change-in-global-rankings/,,,True
2176. Count Equal and Divisible Pairs in an Array,79.50%,Easy,https://leetcode.com/problems/count-equal-and-divisible-pairs-in-an-array/,515,Array,
2177. Find Three Consecutive Integers That Sum to a Given Number,63.90%,Medium,https://leetcode.com/problems/find-three-consecutive-integers-that-sum-to-a-given-number/,551,"Math,Simulation",
2178. Maximum Split of Positive Even Integers,59.40%,Medium,https://leetcode.com/problems/maximum-split-of-positive-even-integers/,,,True
2179. Count Good Triplets in an Array,38.60%,Hard,https://leetcode.com/problems/count-good-triplets-in-an-array/,529,"Array,Binary Search,Divide and Conquer,Binary Indexed Tree,Segment Tree,Merge Sort,Ordered Set",
2180. Count Integers With Even Digit Sum,65.60%,Easy,https://leetcode.com/problems/count-integers-with-even-digit-sum/,499,"Math,Simulation",
2181. Merge Nodes in Between Zeros,86.10%,Medium,https://leetcode.com/problems/merge-nodes-in-between-zeros/,1.3K,"Linked List,Simulation",
2182. Construct String With Repeat Limit,52.40%,Medium,https://leetcode.com/problems/construct-string-with-repeat-limit/,533,"String,Greedy,Heap (Priority Queue),Counting",
2183. Count Array Pairs Divisible by K,28.30%,Hard,https://leetcode.com/problems/count-array-pairs-divisible-by-k/,695,"Array,Math,Number Theory",
2184. Number of Ways to Build Sturdy Brick Wall,50.30%,Medium,https://leetcode.com/problems/number-of-ways-to-build-sturdy-brick-wall/,,,True
2185. Counting Words With a Given Prefix,77.20%,Easy,https://leetcode.com/problems/counting-words-with-a-given-prefix/,546,"Array,String",
2186. Minimum Number of Steps to Make Two Strings Anagram II,71.90%,Medium,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram-ii/,455,"Hash Table,String,Counting",
2187. Minimum Time to Complete Trips,39.20%,Medium,https://leetcode.com/problems/minimum-time-to-complete-trips/,2.5K,"Array,Binary Search",
2188. Minimum Time to Finish the Race,41.70%,Hard,https://leetcode.com/problems/minimum-time-to-finish-the-race/,493,"Array,Dynamic Programming",
2189. Number of Ways to Build House of Cards,63.20%,Medium,https://leetcode.com/problems/number-of-ways-to-build-house-of-cards/,,,True
2190. Most Frequent Number Following Key In an Array,59.50%,Easy,https://leetcode.com/problems/most-frequent-number-following-key-in-an-array/,300,"Array,Hash Table,Counting",
2191. Sort the Jumbled Numbers,45.70%,Medium,https://leetcode.com/problems/sort-the-jumbled-numbers/,320,"Array,Sorting",
2192. All Ancestors of a Node in a Directed Acyclic Graph,50.70%,Medium,https://leetcode.com/problems/all-ancestors-of-a-node-in-a-directed-acyclic-graph/,854,"Depth-First Search,Breadth-First Search,Graph,Topological Sort",
2193. Minimum Number of Moves to Make Palindrome,51.20%,Hard,https://leetcode.com/problems/minimum-number-of-moves-to-make-palindrome/,790,"Two Pointers,String,Greedy,Binary Indexed Tree",
2194. Cells in a Range on an Excel Sheet,84.30%,Easy,https://leetcode.com/problems/cells-in-a-range-on-an-excel-sheet/,455,String,
2195. Append K Integers With Minimal Sum,25.00%,Medium,https://leetcode.com/problems/append-k-integers-with-minimal-sum/,613,"Array,Math,Greedy,Sorting",
2196. Create Binary Tree From Descriptions,72.30%,Medium,https://leetcode.com/problems/create-binary-tree-from-descriptions/,796,"Array,Hash Table,Tree,Depth-First Search,Breadth-First Search,Binary Tree",
2197. Replace Non-Coprime Numbers in Array,38.60%,Hard,https://leetcode.com/problems/replace-non-coprime-numbers-in-array/,377,"Array,Math,Stack,Number Theory",
2198. Number of Single Divisor Triplets,56.10%,Medium,https://leetcode.com/problems/number-of-single-divisor-triplets/,,,True
2199. Finding the Topic of Each Post,50.00%,Hard,https://leetcode.com/problems/finding-the-topic-of-each-post/,,,True
2200. Find All K-Distant Indices in an Array,64.90%,Easy,https://leetcode.com/problems/find-all-k-distant-indices-in-an-array/,336,Array,
2201. Count Artifacts That Can Be Extracted,55.50%,Medium,https://leetcode.com/problems/count-artifacts-that-can-be-extracted/,173,"Array,Hash Table,Simulation",
2202. Maximize the Topmost Element After K Moves,22.80%,Medium,https://leetcode.com/problems/maximize-the-topmost-element-after-k-moves/,522,"Array,Greedy",
2203. Minimum Weighted Subgraph With the Required Paths,36.10%,Hard,https://leetcode.com/problems/minimum-weighted-subgraph-with-the-required-paths/,571,"Graph,Shortest Path",
2204. Distance to a Cycle in Undirected Graph,70.10%,Hard,https://leetcode.com/problems/distance-to-a-cycle-in-undirected-graph/,,,True
2205. The Number of Users That Are Eligible for Discount,50.10%,Easy,https://leetcode.com/problems/the-number-of-users-that-are-eligible-for-discount/,,,True
2206. Divide Array Into Equal Pairs,73.50%,Easy,https://leetcode.com/problems/divide-array-into-equal-pairs/,569,"Array,Hash Table,Bit Manipulation,Counting",
2207. Maximize Number of Subsequences in a String,33.50%,Medium,https://leetcode.com/problems/maximize-number-of-subsequences-in-a-string/,412,"String,Greedy,Prefix Sum",
2208. Minimum Operations to Halve Array Sum,45.60%,Medium,https://leetcode.com/problems/minimum-operations-to-halve-array-sum/,476,"Array,Greedy,Heap (Priority Queue)",
2209. Minimum White Tiles After Covering With Carpets,34.40%,Hard,https://leetcode.com/problems/minimum-white-tiles-after-covering-with-carpets/,439,"String,Dynamic Programming,Prefix Sum",
2210. Count Hills and Valleys in an Array,58.50%,Easy,https://leetcode.com/problems/count-hills-and-valleys-in-an-array/,505,Array,
2211. Count Collisions on a Road,42.40%,Medium,https://leetcode.com/problems/count-collisions-on-a-road/,483,"String,Stack",
2212. Maximum Points in an Archery Competition,49.50%,Medium,https://leetcode.com/problems/maximum-points-in-an-archery-competition/,428,"Array,Bit Manipulation,Recursion,Enumeration",
